idx	label	predict	radius	correct	time
0	3	5	0.119	0	0:00:09.026942
1	8	8	0.027	1	0:00:08.703101
2	8	9	0.0361	0	0:00:08.718362
3	0	0	0.0428	1	0:00:08.740997
4	6	6	0.382	1	0:00:08.745197
5	6	6	0.391	1	0:00:08.753209
6	1	1	0.164	1	0:00:08.766171
7	6	6	0.274	1	0:00:08.802775
8	3	4	0.00491	0	0:00:08.855649
9	1	9	0.111	0	0:00:08.860244
10	0	-1	0.0	0	0:00:08.885767
11	9	9	0.391	1	0:00:08.884970
12	5	6	0.0799	0	0:00:08.902942
13	7	7	0.212	1	0:00:08.909846
14	9	9	0.391	1	0:00:08.919281
15	8	6	0.0532	0	0:00:08.918193
16	5	6	0.121	0	0:00:08.908218
17	7	9	0.148	0	0:00:08.931459
18	8	8	0.391	1	0:00:08.918106
19	6	6	0.391	1	0:00:08.916636
20	7	7	0.248	1	0:00:08.946109
21	0	0	0.382	1	0:00:08.932307
22	4	4	0.0384	1	0:00:08.947923
23	9	9	0.391	1	0:00:08.930288
24	5	4	0.159	0	0:00:08.944033
25	2	2	0.295	1	0:00:08.940603
26	4	4	0.163	1	0:00:08.936849
27	0	2	0.0128	0	0:00:08.956114
28	9	9	0.074	1	0:00:08.939684
29	6	6	0.391	1	0:00:08.957057
30	6	6	0.391	1	0:00:08.944638
31	5	6	0.187	0	0:00:08.944989
32	4	4	0.102	1	0:00:08.951783
33	5	-1	0.0	0	0:00:08.944970
34	9	9	0.284	1	0:00:08.947420
35	2	6	0.0441	0	0:00:08.961035
36	4	4	0.212	1	0:00:08.944694
37	1	9	0.217	0	0:00:08.941133
38	9	9	0.391	1	0:00:08.941483
39	5	5	0.0792	1	0:00:08.952188
40	4	4	0.368	1	0:00:08.941942
41	6	6	0.391	1	0:00:08.937593
42	5	6	0.329	0	0:00:08.954580
43	6	6	0.346	1	0:00:08.953311
44	0	0	0.314	1	0:00:08.938149
45	9	9	0.391	1	0:00:08.959004
46	3	6	0.0217	0	0:00:08.951257
47	9	9	0.298	1	0:00:08.934309
48	7	7	0.265	1	0:00:08.943668
49	6	6	0.391	1	0:00:08.950592
50	9	9	0.209	1	0:00:08.946533
51	8	9	0.0198	0	0:00:08.953099
52	0	2	0.0665	0	0:00:08.948621
53	3	6	0.391	0	0:00:08.959790
54	8	8	0.391	1	0:00:08.931126
55	8	-1	0.0	0	0:00:08.944476
56	7	4	0.0496	0	0:00:08.960690
57	7	4	0.0509	0	0:00:08.949063
58	4	-1	0.0	0	0:00:08.946362
59	6	6	0.064	1	0:00:08.952273
60	7	7	0.391	1	0:00:08.936422
61	3	6	0.208	0	0:00:08.951724
62	6	6	0.221	1	0:00:08.952660
63	3	-1	0.0	0	0:00:08.943676
64	6	6	0.391	1	0:00:08.943711
65	2	2	0.206	1	0:00:08.945949
66	1	1	0.176	1	0:00:08.953201
67	2	2	0.382	1	0:00:08.948425
68	3	6	0.268	0	0:00:08.947852
69	7	-1	0.0	0	0:00:08.948610
70	2	6	0.0806	0	0:00:08.960239
71	6	6	0.256	1	0:00:08.951580
72	8	8	0.328	1	0:00:08.944298
73	8	8	0.338	1	0:00:08.938538
74	0	6	0.215	0	0:00:08.944754
75	2	2	0.391	1	0:00:08.954092
76	9	9	0.391	1	0:00:08.944151
77	3	-1	0.0	0	0:00:08.941198
78	3	6	0.00724	0	0:00:08.949696
79	8	8	0.391	1	0:00:08.945594
80	8	8	0.272	1	0:00:08.947840
81	1	9	0.00337	0	0:00:08.943803
82	1	1	0.211	1	0:00:08.942485
83	7	4	0.189	0	0:00:08.954718
84	2	2	0.0185	1	0:00:08.947493
85	5	6	0.147	0	0:00:08.946815
86	2	2	0.339	1	0:00:08.945832
87	7	-1	0.0	0	0:00:08.945156
88	8	8	0.287	1	0:00:08.962533
89	9	9	0.391	1	0:00:08.937681
90	0	-1	0.0	0	0:00:08.942730
91	3	6	0.247	0	0:00:08.947129
92	8	8	0.382	1	0:00:08.946911
93	6	6	0.391	1	0:00:08.942641
94	4	4	0.183	1	0:00:08.960143
95	6	6	0.0399	1	0:00:08.942837
96	6	6	0.391	1	0:00:08.951661
97	0	-1	0.0	0	0:00:08.938411
98	0	0	0.391	1	0:00:08.942272
99	7	7	0.000856	1	0:00:08.946242
100	4	4	0.219	1	0:00:08.957922
101	5	9	0.027	0	0:00:08.932714
102	6	6	0.2	1	0:00:08.941051
103	3	-1	0.0	0	0:00:08.936854
104	1	1	0.391	1	0:00:08.920024
105	1	1	0.391	1	0:00:08.940066
106	3	-1	0.0	0	0:00:08.946538
107	6	6	0.186	1	0:00:08.942911
108	8	8	0.391	1	0:00:08.935095
109	7	-1	0.0	0	0:00:08.942489
110	4	4	0.0729	1	0:00:08.929545
111	0	2	0.0587	0	0:00:08.938962
112	6	6	0.382	1	0:00:08.935698
113	2	2	0.0856	1	0:00:08.933435
114	1	1	0.172	1	0:00:08.951469
115	3	-1	0.0	0	0:00:08.939049
116	0	4	0.0632	0	0:00:08.928509
117	4	4	0.0893	1	0:00:08.941789
118	2	4	0.0691	0	0:00:08.931034
119	7	2	0.133	0	0:00:08.939904
120	8	6	0.0506	0	0:00:08.936908
121	3	6	0.129	0	0:00:08.928174
122	1	1	0.382	1	0:00:08.922107
123	2	2	0.382	1	0:00:08.940322
124	8	8	0.101	1	0:00:08.924252
125	0	2	0.13	0	0:00:08.943397
126	8	8	0.0244	1	0:00:08.933342
127	3	6	0.268	0	0:00:08.940620
128	5	6	0.193	0	0:00:08.944535
129	2	2	0.0306	1	0:00:08.923377
130	4	4	0.333	1	0:00:08.940144
131	1	1	0.391	1	0:00:08.918566
132	8	8	0.277	1	0:00:08.948333
133	9	9	0.391	1	0:00:08.927374
134	1	1	0.148	1	0:00:08.941674
135	2	2	0.31	1	0:00:08.933939
136	9	9	0.391	1	0:00:08.933036
137	7	7	0.107	1	0:00:08.934985
138	2	2	0.0171	1	0:00:08.924026
139	9	9	0.16	1	0:00:08.933554
140	6	6	0.391	1	0:00:08.922890
141	5	5	0.269	1	0:00:08.937164
142	6	6	0.391	1	0:00:08.927322
143	3	9	0.0583	0	0:00:08.935746
144	8	6	0.0427	0	0:00:08.932422
145	7	9	0.0179	0	0:00:08.929246
146	6	6	0.216	1	0:00:08.933585
147	2	6	0.144	0	0:00:08.920721
148	5	-1	0.0	0	0:00:08.933874
149	2	2	0.391	1	0:00:08.947631
150	8	6	0.145	0	0:00:08.922240
151	9	9	0.262	1	0:00:08.939980
152	6	6	0.226	1	0:00:08.930542
153	0	6	0.109	0	0:00:08.954854
154	0	0	0.0544	1	0:00:08.929755
155	5	-1	0.0	0	0:00:08.933336
156	2	6	0.0156	0	0:00:08.945668
157	9	9	0.354	1	0:00:08.938416
158	5	2	0.158	0	0:00:08.926079
159	4	4	0.376	1	0:00:08.942465
160	2	6	0.0357	0	0:00:08.954830
161	1	1	0.362	1	0:00:08.939558
162	6	6	0.144	1	0:00:08.924604
163	6	6	0.354	1	0:00:08.923040
164	8	8	0.27	1	0:00:08.931154
165	4	4	0.0221	1	0:00:08.923556
166	8	-1	0.0	0	0:00:08.943025
167	4	6	0.0512	0	0:00:08.931886
168	5	-1	0.0	0	0:00:08.920968
169	0	8	0.206	0	0:00:08.929101
170	9	9	0.343	1	0:00:08.926798
171	9	9	0.0508	1	0:00:08.927606
