idx	label	predict	radius	correct	time
0	3	9	1.53	0	0:00:08.653390
1	8	9	0.518	0	0:00:08.677832
2	8	9	1.39	0	0:00:08.686136
3	0	9	0.944	0	0:00:08.705237
4	6	9	2.24	0	0:00:08.715460
5	6	9	1.69	0	0:00:08.721839
6	1	9	0.96	0	0:00:08.729059
7	6	9	1.88	0	0:00:08.742298
8	3	9	1.75	0	0:00:08.745637
9	1	9	1.02	0	0:00:08.746051
10	0	9	1.8	0	0:00:08.749055
11	9	9	1.16	1	0:00:08.759429
12	5	9	1.81	0	0:00:08.774750
13	7	9	0.575	0	0:00:08.779597
14	9	9	1.15	1	0:00:08.793416
15	8	9	1.13	0	0:00:08.801047
16	5	9	1.56	0	0:00:08.800688
17	7	9	1.9	0	0:00:08.799438
18	8	9	0.416	0	0:00:08.815314
19	6	9	1.84	0	0:00:08.806038
20	7	9	0.746	0	0:00:08.814151
21	0	9	1.04	0	0:00:08.814712
22	4	9	1.74	0	0:00:08.808616
23	9	9	1.12	1	0:00:08.812301
24	5	9	1.31	0	0:00:08.818520
25	2	9	1.08	0	0:00:08.810317
26	4	9	1.79	0	0:00:08.810042
27	0	9	1.44	0	0:00:08.817116
28	9	9	1.12	1	0:00:08.809979
29	6	9	1.79	0	0:00:08.811159
30	6	9	1.24	0	0:00:08.808652
31	5	9	1.74	0	0:00:08.803616
32	4	9	1.94	0	0:00:08.810997
33	5	9	1.71	0	0:00:08.816321
34	9	9	1.15	1	0:00:08.817900
35	2	9	1.57	0	0:00:08.805217
36	4	9	1.69	0	0:00:08.813019
37	1	9	0.777	0	0:00:08.804462
38	9	9	1.07	1	0:00:08.811902
39	5	9	1.76	0	0:00:08.814552
40	4	9	1.14	0	0:00:08.812315
41	6	9	1.46	0	0:00:08.810455
42	5	9	0.733	0	0:00:08.811010
43	6	9	2.15	0	0:00:08.820992
44	0	9	1.02	0	0:00:08.808045
45	9	9	1.22	1	0:00:08.815319
46	3	9	2.3	0	0:00:08.807412
47	9	9	1.88	1	0:00:08.820730
48	7	9	2.06	0	0:00:08.808532
49	6	9	1.85	0	0:00:08.819645
50	9	9	0.575	1	0:00:08.820344
51	8	9	1.27	0	0:00:08.813629
52	0	9	1.83	0	0:00:08.812092
53	3	9	1.67	0	0:00:08.818425
54	8	9	0.798	0	0:00:08.815773
55	8	9	1.53	0	0:00:08.826057
56	7	9	1.33	0	0:00:08.811844
57	7	9	1.44	0	0:00:08.809028
58	4	9	1.77	0	0:00:08.814873
59	6	9	1.88	0	0:00:08.808167
60	7	9	1.56	0	0:00:08.820987
61	3	9	2.33	0	0:00:08.803587
62	6	9	1.12	0	0:00:08.810637
63	3	9	0.619	0	0:00:08.810083
64	6	9	1.62	0	0:00:08.801772
65	2	9	1.78	0	0:00:08.808864
66	1	9	0.887	0	0:00:08.812469
67	2	9	1.24	0	0:00:08.809609
68	3	9	1.28	0	0:00:08.815628
69	7	9	0.844	0	0:00:08.811338
70	2	9	1.75	0	0:00:08.810849
71	6	9	2.1	0	0:00:08.815109
72	8	9	1.59	0	0:00:08.814743
73	8	9	1.89	0	0:00:08.814471
74	0	9	0.793	0	0:00:08.815746
75	2	9	1.73	0	0:00:08.813230
76	9	9	1.26	1	0:00:08.811397
77	3	9	1.75	0	0:00:08.815568
78	3	9	1.77	0	0:00:08.815626
79	8	9	0.874	0	0:00:08.815511
80	8	9	1.49	0	0:00:08.818484
81	1	9	0.846	0	0:00:08.817111
82	1	9	1.73	0	0:00:08.808904
83	7	9	1.47	0	0:00:08.807688
84	2	9	1.49	0	0:00:08.806185
85	5	9	1.2	0	0:00:08.817218
86	2	9	0.896	0	0:00:08.811071
87	7	9	0.648	0	0:00:08.812654
88	8	9	1.34	0	0:00:08.811111
89	9	9	1.4	1	0:00:08.816228
90	0	9	1.49	0	0:00:08.803831
91	3	9	1.97	0	0:00:08.812925
92	8	9	0.966	0	0:00:08.808176
93	6	9	0.991	0	0:00:08.809988
94	4	9	1.51	0	0:00:08.820088
95	6	9	1.86	0	0:00:08.808871
96	6	9	1.74	0	0:00:08.810122
97	0	9	1.97	0	0:00:08.804101
98	0	9	1.02	0	0:00:08.819779
99	7	9	1.37	0	0:00:08.816189
100	4	9	2.02	0	0:00:08.808581
101	5	9	2.23	0	0:00:08.816452
102	6	9	1.69	0	0:00:08.817825
103	3	9	1.33	0	0:00:08.806474
104	1	9	1.56	0	0:00:08.820479
105	1	9	0.484	0	0:00:08.819808
106	3	9	1.69	0	0:00:08.812863
107	6	9	1.69	0	0:00:08.816233
108	8	9	1.58	0	0:00:08.806676
109	7	9	1.36	0	0:00:08.817327
110	4	9	1.48	0	0:00:08.825542
111	0	9	1.38	0	0:00:08.802496
112	6	9	1.38	0	0:00:08.815606
113	2	9	1.82	0	0:00:08.809832
114	1	9	1.25	0	0:00:08.804698
115	3	9	0.737	0	0:00:08.811825
116	0	9	1.65	0	0:00:08.809912
117	4	9	1.04	0	0:00:08.807506
118	2	9	1.63	0	0:00:08.807140
119	7	9	1.48	0	0:00:08.811033
120	8	9	1.33	0	0:00:08.817136
121	3	9	2.52	0	0:00:08.809687
122	1	9	1.3	0	0:00:08.815017
123	2	9	1.29	0	0:00:08.803856
124	8	9	1.29	0	0:00:08.805428
125	0	9	1.39	0	0:00:08.808586
126	8	9	1.69	0	0:00:08.824347
127	3	9	1.81	0	0:00:08.807087
128	5	9	2.18	0	0:00:08.823612
129	2	9	1.82	0	0:00:08.803786
130	4	9	1.93	0	0:00:08.820118
131	1	9	1.01	0	0:00:08.820571
132	8	9	1.27	0	0:00:08.825045
133	9	9	1.27	1	0:00:08.809395
134	1	9	1.83	0	0:00:08.811777
135	2	9	1.69	0	0:00:08.820679
136	9	9	0.823	1	0:00:08.817744
137	7	9	1.34	0	0:00:08.818454
138	2	9	1.95	0	0:00:08.821286
139	9	9	1.17	1	0:00:08.811019
140	6	9	1.77	0	0:00:08.811857
141	5	9	0.821	0	0:00:08.813597
142	6	9	2.09	0	0:00:08.802806
143	3	9	1.8	0	0:00:08.810145
144	8	9	0.68	0	0:00:08.810494
145	7	9	1.46	0	0:00:08.805107
146	6	9	1.87	0	0:00:08.809787
147	2	9	0.994	0	0:00:08.806471
148	5	9	1.53	0	0:00:08.806726
149	2	9	1.21	0	0:00:08.816286
150	8	9	0.821	0	0:00:08.807578
151	9	9	0.644	1	0:00:08.808858
152	6	9	1.6	0	0:00:08.820545
153	0	9	1.26	0	0:00:08.811628
154	0	9	2.14	0	0:00:08.822500
155	5	9	2.19	0	0:00:08.810972
156	2	9	1.85	0	0:00:08.812730
157	9	9	0.849	1	0:00:08.810876
158	5	9	1.94	0	0:00:08.816300
159	4	9	1.69	0	0:00:08.825795
160	2	9	1.52	0	0:00:08.813035
161	1	9	1.82	0	0:00:08.827052
162	6	9	1.05	0	0:00:08.810303
163	6	9	1.9	0	0:00:08.817576
164	8	9	1.11	0	0:00:08.813330
165	4	9	1.45	0	0:00:08.814635
166	8	9	1.38	0	0:00:08.818682
167	4	9	1.96	0	0:00:08.807342
168	5	9	1.68	0	0:00:08.807318
169	0	9	1.11	0	0:00:08.809299
170	9	9	0.951	1	0:00:08.807155
171	9	9	1.29	1	0:00:08.815399
172	9	9	1.78	1	0:00:08.802740
173	8	9	1.49	0	0:00:08.802524
174	9	9	1.33	1	0:00:08.810426
175	9	9	0.718	1	0:00:08.806798
176	3	9	2.08	0	0:00:08.800628
177	7	9	1.7	0	0:00:08.808305
178	5	9	1.92	0	0:00:08.815004
179	0	9	1.15	0	0:00:08.817109
180	0	9	1.09	0	0:00:08.810652
181	5	9	1.42	0	0:00:08.815841
182	2	9	1.4	0	0:00:08.814161
183	2	9	1.86	0	0:00:08.812124
184	3	9	1.62	0	0:00:08.814341
185	8	9	1.92	0	0:00:08.821532
186	6	9	1.49	0	0:00:08.815136
187	3	9	1.56	0	0:00:08.811313
188	4	9	1.01	0	0:00:08.811986
189	0	9	0.61	0	0:00:08.820077
190	5	9	1.14	0	0:00:08.813247
191	8	9	1.86	0	0:00:08.812443
192	0	9	0.763	0	0:00:08.815313
193	1	9	1.95	0	0:00:08.805708
194	7	9	1.78	0	0:00:08.810329
195	2	9	1.93	0	0:00:08.814770
196	8	9	1.42	0	0:00:08.803694
197	8	9	1.24	0	0:00:08.808429
198	7	9	1.44	0	0:00:08.809311
199	8	9	1.86	0	0:00:08.820470
200	5	9	1.03	0	0:00:08.809484
201	1	9	1.15	0	0:00:08.804735
202	8	9	1.48	0	0:00:08.804356
203	7	9	1.23	0	0:00:08.808523
204	1	9	1.22	0	0:00:08.812973
205	3	9	1.87	0	0:00:08.801598
206	0	9	1.26	0	0:00:08.809071
207	5	9	1.6	0	0:00:08.807054
208	7	9	1.49	0	0:00:08.813797
209	9	9	1.13	1	0:00:08.812684
210	7	9	1.63	0	0:00:08.823673
211	4	9	0.857	0	0:00:08.819147
212	5	9	1.06	0	0:00:08.823362
213	9	9	1.52	1	0:00:08.816219
214	8	9	1.59	0	0:00:08.813614
215	0	9	1.51	0	0:00:08.820768
216	7	9	0.917	0	0:00:08.812340
217	9	9	1.39	1	0:00:08.817404
218	8	9	1.6	0	0:00:08.818737
