idx	label	predict	radius	correct	time
0	3	6	0.0602	0	0:00:10.830273
1	8	1	0.109	0	0:00:10.684362
2	8	-1	0.0	0	0:00:10.722271
3	0	0	0.0674	1	0:00:10.741534
4	6	6	0.257	1	0:00:10.850068
5	6	6	0.352	1	0:00:11.030078
6	1	1	0.227	1	0:00:11.077733
7	6	6	0.181	1	0:00:11.084536
8	3	6	0.115	0	0:00:11.130652
9	1	9	0.00703	0	0:00:11.110100
10	0	6	0.157	0	0:00:11.137896
11	9	9	0.239	1	0:00:11.168994
12	5	6	0.226	0	0:00:11.175430
13	7	6	0.195	0	0:00:11.186341
14	9	9	0.0304	1	0:00:11.043236
15	8	6	0.223	0	0:00:11.283436
16	5	6	0.127	0	0:00:11.188184
17	7	6	0.0674	0	0:00:11.141521
18	8	8	0.0588	1	0:00:11.070350
19	6	6	0.352	1	0:00:11.181911
20	7	6	0.099	0	0:00:11.157418
21	0	2	0.0389	0	0:00:11.240714
22	4	6	0.0927	0	0:00:11.133412
23	9	9	0.352	1	0:00:11.117677
24	5	6	0.0993	0	0:00:11.159836
25	2	2	0.0624	1	0:00:11.100919
26	4	6	0.0596	0	0:00:11.185195
27	0	6	0.109	0	0:00:11.231705
28	9	9	0.013	1	0:00:11.125325
29	6	6	0.352	1	0:00:11.152839
30	6	6	0.344	1	0:00:11.190911
31	5	6	0.189	0	0:00:11.180688
32	4	6	0.0535	0	0:00:11.088747
33	5	6	0.138	0	0:00:11.189977
34	9	-1	0.0	0	0:00:11.194252
35	2	6	0.131	0	0:00:11.026309
36	4	6	0.00596	0	0:00:11.235784
37	1	9	0.0899	0	0:00:11.001037
38	9	9	0.352	1	0:00:11.318120
39	5	6	0.0988	0	0:00:11.183129
40	4	6	0.0612	0	0:00:11.206364
41	6	6	0.352	1	0:00:11.095942
42	5	6	0.044	0	0:00:11.217852
43	6	6	0.315	1	0:00:11.056398
44	0	0	0.265	1	0:00:11.214959
45	9	9	0.331	1	0:00:11.094163
46	3	6	0.226	0	0:00:11.149620
47	9	-1	0.0	0	0:00:11.215939
48	7	-1	0.0	0	0:00:11.046044
49	6	6	0.194	1	0:00:11.224326
50	9	6	0.0608	0	0:00:11.152079
51	8	6	0.127	0	0:00:11.126573
52	0	6	0.212	0	0:00:11.161126
53	3	6	0.318	0	0:00:11.170669
54	8	8	0.0835	1	0:00:11.138772
55	8	6	0.217	0	0:00:11.006417
56	7	6	0.162	0	0:00:11.237130
57	7	4	0.0746	0	0:00:11.121131
58	4	6	0.189	0	0:00:11.092594
59	6	6	0.142	1	0:00:11.103249
60	7	4	0.152	0	0:00:11.133410
61	3	6	0.224	0	0:00:11.105930
