idx	label	predict	radius	correct	time
0	3	7	1.01	0	0:00:08.629079
1	8	7	2.26	0	0:00:08.640964
2	8	7	1.42	0	0:00:08.659829
3	0	7	1.71	0	0:00:08.671274
4	6	7	0.35	0	0:00:08.687052
5	6	7	0.848	0	0:00:08.689766
6	1	7	1.36	0	0:00:08.700505
7	6	7	0.733	0	0:00:08.704966
8	3	7	0.687	0	0:00:08.711890
9	1	7	1.61	0	0:00:08.723657
10	0	7	0.752	0	0:00:08.728735
11	9	7	1.56	0	0:00:08.730523
12	5	7	0.734	0	0:00:08.732067
13	7	7	1.75	1	0:00:08.732655
14	9	7	1.52	0	0:00:08.734021
15	8	7	1.48	0	0:00:08.737924
16	5	7	0.71	0	0:00:08.737521
17	7	7	0.44	1	0:00:08.736343
18	8	7	2.48	0	0:00:08.738280
19	6	7	0.618	0	0:00:08.743661
20	7	7	1.89	1	0:00:08.744540
21	0	7	1.59	0	0:00:08.742459
22	4	7	0.805	0	0:00:08.744678
23	9	7	1.21	0	0:00:08.745096
24	5	7	1.38	0	0:00:08.748889
25	2	7	1.72	0	0:00:08.748868
26	4	7	0.589	0	0:00:08.750584
27	0	7	1.66	0	0:00:08.748772
28	9	7	1.33	0	0:00:08.751107
29	6	7	0.86	0	0:00:08.752916
30	6	7	1.24	0	0:00:08.750072
31	5	7	0.659	0	0:00:08.759620
32	4	7	0.451	0	0:00:08.748807
33	5	7	0.657	0	0:00:08.748892
34	9	7	1.51	0	0:00:08.754953
35	2	7	0.791	0	0:00:08.748339
36	4	7	0.966	0	0:00:08.753696
37	1	7	1.99	0	0:00:08.761103
38	9	7	1.37	0	0:00:08.754702
39	5	7	0.589	0	0:00:08.750480
40	4	7	1.33	0	0:00:08.755784
41	6	7	1.06	0	0:00:08.751029
42	5	7	1.62	0	0:00:08.753441
43	6	7	0.171	0	0:00:08.748933
44	0	7	1.75	0	0:00:08.753687
45	9	7	1.49	0	0:00:08.754884
46	3	7	0.321	0	0:00:08.749324
47	9	7	0.694	0	0:00:08.754235
48	7	7	0.618	1	0:00:08.748906
49	6	7	0.894	0	0:00:08.748228
50	9	7	2.04	0	0:00:08.749394
51	8	7	1.29	0	0:00:08.754375
52	0	7	0.668	0	0:00:08.754522
53	3	7	0.988	0	0:00:08.745559
54	8	7	1.86	0	0:00:08.749423
55	8	7	1.24	0	0:00:08.750210
56	7	7	0.993	1	0:00:08.752844
57	7	7	0.725	1	0:00:08.750175
58	4	7	0.914	0	0:00:08.745917
59	6	7	0.721	0	0:00:08.749980
60	7	7	0.824	1	0:00:08.749392
61	3	9	0.0331	0	0:00:08.749140
62	6	7	1.27	0	0:00:08.752845
63	3	7	2.21	0	0:00:08.753716
64	6	7	0.974	0	0:00:08.748552
65	2	7	0.753	0	0:00:08.753684
66	1	7	1.68	0	0:00:08.753618
67	2	7	1.49	0	0:00:08.751412
68	3	7	1.08	0	0:00:08.752702
69	7	7	2.04	1	0:00:08.748639
70	2	7	0.944	0	0:00:08.749951
71	6	7	0.348	0	0:00:08.751463
72	8	7	1.17	0	0:00:08.754727
73	8	7	0.725	0	0:00:08.750312
74	0	7	2.18	0	0:00:08.757977
75	2	7	0.966	0	0:00:08.748324
76	9	7	1.43	0	0:00:08.752948
