idx	label	predict	radius	correct	time
0	3	6	1.07	0	0:00:11.036309
1	8	6	0.938	0	0:00:11.416174
2	8	6	0.983	0	0:00:11.744796
3	0	6	0.867	0	0:00:11.724979
4	6	6	1.13	1	0:00:11.702515
5	6	6	1.17	1	0:00:11.715269
6	1	6	1.15	0	0:00:11.718645
7	6	6	1.12	1	0:00:11.637999
8	3	6	0.882	0	0:00:11.724789
9	1	6	1.17	0	0:00:11.631252
10	0	6	0.96	0	0:00:11.702083
11	9	6	1.17	0	0:00:11.651029
12	5	6	1.17	0	0:00:11.722517
13	7	6	1.17	0	0:00:11.615782
14	9	6	1.17	0	0:00:11.663955
15	8	6	0.977	0	0:00:11.641476
16	5	6	0.881	0	0:00:11.708877
17	7	6	1.17	0	0:00:11.664418
18	8	6	1.17	0	0:00:11.666789
19	6	6	1.17	1	0:00:11.544079
20	7	6	1.17	0	0:00:11.636856
21	0	6	0.692	0	0:00:11.713768
22	4	6	1.17	0	0:00:11.722537
23	9	6	1.17	0	0:00:11.742936
24	5	6	1.13	0	0:00:11.723614
25	2	6	1.13	0	0:00:11.592881
26	4	6	1.17	0	0:00:11.700563
27	0	6	1.17	0	0:00:11.593972
28	9	6	1.17	0	0:00:11.583763
29	6	6	1.17	1	0:00:11.725424
30	6	6	1.17	1	0:00:11.673879
31	5	6	1.17	0	0:00:11.586166
32	4	6	1.06	0	0:00:11.710768
33	5	6	1.17	0	0:00:11.710342
34	9	6	1.17	0	0:00:11.709928
35	2	6	1.17	0	0:00:11.710461
36	4	6	1.17	0	0:00:11.711004
37	1	6	1.17	0	0:00:11.720682
38	9	6	1.17	0	0:00:11.663726
39	5	6	1.1	0	0:00:11.560198
40	4	6	1.15	0	0:00:11.601340
41	6	6	1.17	1	0:00:11.722349
42	5	6	1.17	0	0:00:11.710760
43	6	6	1.17	1	0:00:11.587985
44	0	6	1.1	0	0:00:11.706789
45	9	6	1.15	0	0:00:11.749798
46	3	6	1.17	0	0:00:11.658546
47	9	6	1.17	0	0:00:11.652061
48	7	6	1.17	0	0:00:11.661577
49	6	6	1.17	1	0:00:11.710989
50	9	6	1.17	0	0:00:11.711987
51	8	6	1.17	0	0:00:11.665617
52	0	6	1.17	0	0:00:11.680987
53	3	6	1.17	0	0:00:11.638787
54	8	6	0.822	0	0:00:11.706877
55	8	6	1.12	0	0:00:11.640994
56	7	6	1.17	0	0:00:11.686900
57	7	6	1.15	0	0:00:11.646853
58	4	6	1.1	0	0:00:11.546499
59	6	6	1.08	1	0:00:11.719174
60	7	6	1.02	0	0:00:11.654505
61	3	6	1.17	0	0:00:11.639261
62	6	6	1.17	1	0:00:11.642951
63	3	6	1.17	0	0:00:11.665630
64	6	6	1.17	1	0:00:11.635551
65	2	6	1.17	0	0:00:11.710121
66	1	6	1.09	0	0:00:11.683939
67	2	6	0.45	0	0:00:11.593864
68	3	6	1.17	0	0:00:11.679342
69	7	6	1.17	0	0:00:11.676410
70	2	6	0.941	0	0:00:11.706834
71	6	6	1.17	1	0:00:11.584965
72	8	6	1.06	0	0:00:11.695569
73	8	6	1.02	0	0:00:11.758064
74	0	6	1.17	0	0:00:11.718324
75	2	6	1.02	0	0:00:11.728814
76	9	6	1.17	0	0:00:11.649201
77	3	6	1.15	0	0:00:11.579384
78	3	6	1.17	0	0:00:11.695034
79	8	6	0.81	0	0:00:11.700348
80	8	6	0.906	0	0:00:11.738428
81	1	6	1.07	0	0:00:11.734540
82	1	6	0.969	0	0:00:11.752862
83	7	6	0.681	0	0:00:11.696558
84	2	6	0.934	0	0:00:11.700713
85	5	6	1.17	0	0:00:11.768017
86	2	6	1.17	0	0:00:11.759478
87	7	6	1.15	0	0:00:11.699625
88	8	6	1.17	0	0:00:11.761904
89	9	6	1.17	0	0:00:11.665457
90	0	6	1.07	0	0:00:11.724480
91	3	6	1.17	0	0:00:11.661791
92	8	6	0.724	0	0:00:11.497982
93	6	6	1.17	1	0:00:11.497180
94	4	6	1.17	0	0:00:11.604660
95	6	6	1.17	1	0:00:11.469163
96	6	6	1.17	1	0:00:11.679394
97	0	6	0.991	0	0:00:11.632996
98	0	6	0.993	0	0:00:11.700750
99	7	6	1.15	0	0:00:11.693839
100	4	6	1.15	0	0:00:11.682797
101	5	6	1.17	0	0:00:11.638335
102	6	6	1.17	1	0:00:11.651858
103	3	6	1.09	0	0:00:11.651648
104	1	6	1.17	0	0:00:11.705924
105	1	6	1.02	0	0:00:11.654972
106	3	6	1.17	0	0:00:11.680261
107	6	6	1.17	1	0:00:11.730358
108	8	6	1.13	0	0:00:11.679695
109	7	6	1.17	0	0:00:11.714147
110	4	6	1.17	0	0:00:11.700743
111	0	6	0.944	0	0:00:11.731761
112	6	6	1.08	1	0:00:11.506608
113	2	6	1.17	0	0:00:11.666106
114	1	6	1.17	0	0:00:11.705527
115	3	6	1.17	0	0:00:11.713698
116	0	6	1.15	0	0:00:11.343594
117	4	6	1.17	0	0:00:11.561862
118	2	6	0.953	0	0:00:11.721133
119	7	6	1.17	0	0:00:11.698487
120	8	6	1.09	0	0:00:11.529723
121	3	6	1.17	0	0:00:11.554719
122	1	6	1.17	0	0:00:11.616744
123	2	6	1.17	0	0:00:11.706496
124	8	6	1.17	0	0:00:11.338174
125	0	6	1.17	0	0:00:11.739666
126	8	6	1.17	0	0:00:11.754332
127	3	6	1.17	0	0:00:11.714309
128	5	6	1.15	0	0:00:11.716994
129	2	6	1.17	0	0:00:11.732890
130	4	6	0.974	0	0:00:11.747313
131	1	6	1.17	0	0:00:11.760991
132	8	6	1.17	0	0:00:11.676086
133	9	6	1.17	0	0:00:11.644748
134	1	6	1.06	0	0:00:11.660858
135	2	6	1.13	0	0:00:11.699813
136	9	6	1.17	0	0:00:11.701479
137	7	6	1.17	0	0:00:11.742388
138	2	6	1.17	0	0:00:11.607277
139	9	6	1.01	0	0:00:11.726082
140	6	6	1.17	1	0:00:11.737231
141	5	6	1.06	0	0:00:11.734614
142	6	6	0.926	1	0:00:11.691388
143	3	6	1.17	0	0:00:11.746158
144	8	6	0.703	0	0:00:11.753850
145	7	6	1.06	0	0:00:11.739584
146	6	6	1.17	1	0:00:11.717592
147	2	6	1.17	0	0:00:11.712816
148	5	6	0.921	0	0:00:11.542381
149	2	6	1.17	0	0:00:11.707423
150	8	6	1.15	0	0:00:11.712879
151	9	6	1.17	0	0:00:11.717404
152	6	6	1.17	1	0:00:11.388383
153	0	6	1.13	0	0:00:11.714187
154	0	6	1.13	0	0:00:11.709296
155	5	6	1.17	0	0:00:11.630647
156	2	6	0.644	0	0:00:11.733439
157	9	6	1.17	0	0:00:11.707077
158	5	6	1.17	0	0:00:11.678949
159	4	6	1.17	0	0:00:11.689161
160	2	6	0.974	0	0:00:11.681462
161	1	6	1.17	0	0:00:11.656221
162	6	6	1.17	1	0:00:11.709622
163	6	6	1.17	1	0:00:11.706298
164	8	6	1.06	0	0:00:11.636487
165	4	6	1.17	0	0:00:11.709447
166	8	6	0.855	0	0:00:11.723641
167	4	6	1.17	0	0:00:11.201777
168	5	6	1.17	0	0:00:11.697298
169	0	6	1.17	0	0:00:11.586901
170	9	6	1.17	0	0:00:11.717838
171	9	6	1.17	0	0:00:11.641308
172	9	6	1.13	0	0:00:11.359577
173	8	6	1.17	0	0:00:11.615337
174	9	6	1.17	0	0:00:11.520516
175	9	6	1.17	0	0:00:11.687677
176	3	6	1.17	0	0:00:11.416844
177	7	6	1.17	0	0:00:11.676237
178	5	6	1.17	0	0:00:11.616923
179	0	6	1.17	0	0:00:11.711327
180	0	6	0.883	0	0:00:11.392330
181	5	6	0.995	0	0:00:11.377542
182	2	6	1.17	0	0:00:11.720207
183	2	6	1.15	0	0:00:11.694900
184	3	6	1.17	0	0:00:11.581761
185	8	6	1.1	0	0:00:11.444638
186	6	6	1.17	1	0:00:11.600347
187	3	6	1.17	0	0:00:11.741529
188	4	6	1.09	0	0:00:11.662786
189	0	6	1.01	0	0:00:11.462114
190	5	6	1.06	0	0:00:11.682059
191	8	6	1.1	0	0:00:11.729295
192	0	6	1.17	0	0:00:11.654897
193	1	6	1.17	0	0:00:11.447385
194	7	6	1.17	0	0:00:11.728505
195	2	6	1.17	0	0:00:11.663553
196	8	6	1.08	0	0:00:11.644978
197	8	6	0.494	0	0:00:11.261088
198	7	6	1.17	0	0:00:11.659633
199	8	6	0.868	0	0:00:11.501484
200	5	6	1.17	0	0:00:11.593347
201	1	6	1.17	0	0:00:11.751461
202	8	6	1.09	0	0:00:11.734455
203	7	6	1.17	0	0:00:11.716890
204	1	6	1.17	0	0:00:11.688991
205	3	6	0.896	0	0:00:11.732631
206	0	6	1.17	0	0:00:11.777281
207	5	6	1.04	0	0:00:11.711287
208	7	6	1.07	0	0:00:11.693129
209	9	6	1.1	0	0:00:11.738051
210	7	6	1.17	0	0:00:11.761705
211	4	6	1.17	0	0:00:11.695043
212	5	6	0.804	0	0:00:11.603015
213	9	6	1.17	0	0:00:11.726852
214	8	6	1.12	0	0:00:11.658325
215	0	6	0.593	0	0:00:11.598439
216	7	6	1.05	0	0:00:11.676872
217	9	6	1.13	0	0:00:11.528137
218	8	6	0.182	0	0:00:11.650424
219	2	6	1.15	0	0:00:11.637823
220	7	6	1.17	0	0:00:11.700272
221	6	6	1.17	1	0:00:11.605293
222	9	6	1.15	0	0:00:11.757200
223	4	6	1.17	0	0:00:11.670526
224	3	6	1.17	0	0:00:11.655523
225	9	6	1.17	0	0:00:11.691182
226	6	6	1.17	1	0:00:11.717119
227	4	6	0.826	0	0:00:11.616060
228	7	6	0.741	0	0:00:11.657786
229	6	6	1.17	1	0:00:11.754149
230	5	6	1.17	0	0:00:11.724788
231	1	6	1.1	0	0:00:11.755058
232	5	6	1.17	0	0:00:11.729611
233	8	6	1.17	0	0:00:11.645746
234	8	6	1.05	0	0:00:11.542344
235	0	6	0.938	0	0:00:11.696321
236	4	6	1.17	0	0:00:11.737046
237	0	6	1.15	0	0:00:11.706774
238	5	6	0.715	0	0:00:11.726055
239	5	6	0.898	0	0:00:11.705507
240	1	6	1.17	0	0:00:11.741498
241	1	6	1.13	0	0:00:11.695343
242	8	6	1.17	0	0:00:11.611826
243	9	6	1.17	0	0:00:11.727408
244	0	6	1.17	0	0:00:11.602684
245	3	6	1.15	0	0:00:11.705029
246	1	6	1.17	0	0:00:11.715031
247	9	6	1.06	0	0:00:11.666992
248	2	6	1.05	0	0:00:11.768487
249	2	6	1.17	0	0:00:11.768562
250	5	6	1.17	0	0:00:11.508831
251	3	6	1.17	0	0:00:11.589572
252	9	6	1.17	0	0:00:11.698171
253	9	6	1.17	0	0:00:11.748241
254	4	6	1.17	0	0:00:11.699135
255	0	6	1.17	0	0:00:11.700085
256	3	6	1.13	0	0:00:11.694535
257	0	6	1.05	0	0:00:11.683783
258	0	6	0.964	0	0:00:11.715930
259	9	6	1.17	0	0:00:11.740834
260	8	6	1.15	0	0:00:11.704866
261	1	6	1.17	0	0:00:11.740269
262	5	6	1.17	0	0:00:11.692511
263	7	6	1.17	0	0:00:11.532288
264	0	6	1.15	0	0:00:11.675414
265	8	6	1.15	0	0:00:11.676410
266	2	6	1.1	0	0:00:11.728322
267	4	6	1.17	0	0:00:11.704081
268	7	6	1.17	0	0:00:11.763105
269	0	6	0.512	0	0:00:11.711278
270	2	6	1.08	0	0:00:11.720824
271	3	6	0.898	0	0:00:11.664255
272	6	6	1.17	1	0:00:11.767285
273	3	6	1.17	0	0:00:11.737216
274	8	6	1.1	0	0:00:11.727333
275	5	6	1.08	0	0:00:11.661406
276	0	6	1.15	0	0:00:11.597969
277	3	6	1.17	0	0:00:11.696504
