idx	label	predict	radius	correct	time
0	3	3	0.0352	1	0:00:10.502749
1	8	8	0.0352	1	0:00:10.538967
2	8	8	0.0352	1	0:00:10.603967
3	0	0	0.0352	1	0:00:10.636878
4	6	6	0.0352	1	0:00:10.666723
5	6	6	0.0352	1	0:00:10.693463
6	1	1	0.0352	1	0:00:10.794356
7	6	6	0.0352	1	0:00:10.913591
8	3	3	0.0187	1	0:00:11.016911
9	1	1	0.0352	1	0:00:11.015787
10	0	0	0.0352	1	0:00:11.067053
11	9	9	0.0352	1	0:00:11.101205
12	5	5	0.0352	1	0:00:11.127086
13	7	7	0.0352	1	0:00:11.006759
14	9	9	0.0352	1	0:00:11.289335
15	8	8	0.0213	1	0:00:11.164903
16	5	5	0.0352	1	0:00:11.042142
17	7	7	0.0352	1	0:00:11.430295
18	8	8	0.0352	1	0:00:11.205836
19	6	6	0.0352	1	0:00:11.303660
20	7	7	0.0352	1	0:00:11.236068
21	0	0	0.0352	1	0:00:11.184608
22	4	4	0.0352	1	0:00:11.188853
23	9	9	0.0352	1	0:00:11.236876
24	5	5	0.0352	1	0:00:11.452727
25	2	2	0.0352	1	0:00:11.338947
26	4	4	0.0339	1	0:00:11.240677
27	0	0	0.0352	1	0:00:11.064902
28	9	9	0.0352	1	0:00:11.435567
29	6	6	0.0352	1	0:00:11.178929
30	6	6	0.0352	1	0:00:11.156310
31	5	5	0.0352	1	0:00:11.328813
32	4	4	0.0352	1	0:00:11.506329
33	5	5	0.0352	1	0:00:11.349007
34	9	9	0.0352	1	0:00:11.259146
35	2	2	0.0286	1	0:00:11.466483
36	4	4	0.0352	1	0:00:11.294673
37	1	9	0.0178	0	0:00:11.375529
38	9	9	0.0352	1	0:00:10.949395
39	5	5	0.0352	1	0:00:11.095163
40	4	4	0.0352	1	0:00:11.149444
41	6	6	0.0352	1	0:00:11.525273
42	5	5	0.0265	1	0:00:11.455328
43	6	6	0.0352	1	0:00:11.069701
44	0	0	0.0352	1	0:00:11.299722
45	9	9	0.0352	1	0:00:11.294104
46	3	3	0.0352	1	0:00:11.141440
47	9	-1	0.0	0	0:00:11.326893
48	7	7	0.0352	1	0:00:11.282358
49	6	6	0.0352	1	0:00:10.929469
50	9	9	0.0352	1	0:00:11.323322
51	8	8	0.0352	1	0:00:11.211679
52	0	2	0.00417	0	0:00:11.283280
53	3	3	0.0352	1	0:00:11.228546
54	8	8	0.0352	1	0:00:11.305756
55	8	8	0.0352	1	0:00:11.175315
56	7	7	0.0206	1	0:00:11.261639
57	7	3	0.0329	0	0:00:11.220665
58	4	3	0.0352	0	0:00:11.255740
59	6	6	0.0317	1	0:00:11.246562
60	7	7	0.0352	1	0:00:11.120190
61	3	5	0.0352	0	0:00:11.234347
62	6	6	0.0352	1	0:00:11.231920
63	3	3	0.0352	1	0:00:11.269273
64	6	6	0.0352	1	0:00:11.224789
65	2	2	0.0352	1	0:00:11.259721
66	1	1	0.00483	1	0:00:11.083151
67	2	2	0.0352	1	0:00:11.403627
68	3	6	0.0352	0	0:00:11.263747
69	7	7	0.0352	1	0:00:11.283049
70	2	2	0.0339	1	0:00:11.235374
71	6	6	0.0352	1	0:00:10.957107
72	8	8	0.0352	1	0:00:11.259887
73	8	8	0.0352	1	0:00:11.286727
74	0	0	0.0269	1	0:00:11.364943
75	2	2	0.0352	1	0:00:11.155941
76	9	9	0.0352	1	0:00:11.166359
77	3	3	0.0352	1	0:00:11.366874
78	3	3	0.0272	1	0:00:11.202349
79	8	8	0.0352	1	0:00:11.189170
80	8	8	0.0352	1	0:00:11.065806
81	1	1	0.0352	1	0:00:11.410254
82	1	1	0.0352	1	0:00:11.229131
83	7	7	0.0352	1	0:00:11.160765
84	2	2	0.0352	1	0:00:11.310941
85	5	5	0.0129	1	0:00:11.323238
86	2	2	0.0187	1	0:00:11.145163
87	7	7	0.0317	1	0:00:11.321651
88	8	8	0.0352	1	0:00:11.135879
89	9	9	0.0352	1	0:00:11.279293
90	0	0	0.0352	1	0:00:11.250783
91	3	3	0.0352	1	0:00:11.308623
92	8	8	0.0352	1	0:00:11.304325
93	6	6	0.0352	1	0:00:11.258417
94	4	4	0.0352	1	0:00:10.988328
95	6	6	0.0352	1	0:00:11.158550
96	6	6	0.0352	1	0:00:11.426684
97	0	0	0.0352	1	0:00:11.270261
98	0	0	0.0352	1	0:00:11.176173
99	7	7	0.0352	1	0:00:11.262322
100	4	4	0.0352	1	0:00:11.406966
101	5	5	0.0352	1	0:00:11.090217
102	6	6	0.0352	1	0:00:11.216824
103	3	3	0.0352	1	0:00:11.338471
