idx	label	predict	radius	correct	time
0	3	3	0.106	1	0:00:10.822146
1	8	8	0.117	1	0:00:10.655661
2	8	8	0.0779	1	0:00:10.705011
3	0	0	0.117	1	0:00:10.727869
4	6	6	0.117	1	0:00:10.771634
5	6	6	0.117	1	0:00:10.786551
6	1	1	0.105	1	0:00:10.781991
7	6	6	0.117	1	0:00:10.811468
8	3	6	0.0168	0	0:00:10.812818
9	1	1	0.11	1	0:00:10.813323
10	0	0	0.117	1	0:00:10.813436
11	9	9	0.117	1	0:00:10.839044
12	5	-1	0.0	0	0:00:10.875565
13	7	7	0.115	1	0:00:10.875841
14	9	9	0.117	1	0:00:10.863508
15	8	8	0.0192	1	0:00:10.890490
16	5	5	0.11	1	0:00:10.879444
17	7	7	0.11	1	0:00:10.927655
18	8	8	0.117	1	0:00:10.887608
19	6	6	0.117	1	0:00:10.915151
20	7	7	0.117	1	0:00:10.898834
21	0	0	0.117	1	0:00:10.897738
22	4	4	0.0276	1	0:00:10.899129
23	9	9	0.117	1	0:00:10.912475
24	5	5	0.0354	1	0:00:10.880925
25	2	2	0.115	1	0:00:10.953017
26	4	4	0.00544	1	0:00:10.892606
27	0	0	0.103	1	0:00:10.899877
28	9	9	0.0932	1	0:00:10.909771
29	6	6	0.117	1	0:00:10.923831
30	6	6	0.117	1	0:00:10.888557
31	5	5	0.103	1	0:00:10.915642
32	4	4	0.117	1	0:00:10.900954
33	5	5	0.0429	1	0:00:10.916035
34	9	9	0.117	1	0:00:10.919283
35	2	8	0.00717	0	0:00:10.898510
36	4	4	0.117	1	0:00:10.883350
37	1	9	0.0398	0	0:00:10.919232
38	9	9	0.117	1	0:00:10.881471
39	5	5	0.117	1	0:00:10.897418
40	4	4	0.117	1	0:00:10.888562
41	6	6	0.117	1	0:00:10.909172
42	5	5	0.0143	1	0:00:10.877300
43	6	6	0.117	1	0:00:10.904655
44	0	0	0.117	1	0:00:10.864472
45	9	9	0.117	1	0:00:10.899895
46	3	3	0.00518	1	0:00:10.944102
47	9	9	0.00284	1	0:00:10.898906
48	7	7	0.117	1	0:00:10.887504
49	6	6	0.089	1	0:00:10.887993
50	9	9	0.0995	1	0:00:10.924994
51	8	8	0.0555	1	0:00:10.897640
52	0	2	0.0356	0	0:00:10.913204
53	3	6	0.0119	0	0:00:10.891868
54	8	8	0.117	1	0:00:10.891781
55	8	8	0.117	1	0:00:10.890975
56	7	-1	0.0	0	0:00:10.914646
57	7	3	0.00138	0	0:00:10.896285
58	4	3	0.0341	0	0:00:10.921862
59	6	6	0.109	1	0:00:10.902834
60	7	7	0.117	1	0:00:10.894688
61	3	5	0.00813	0	0:00:10.921205
62	6	6	0.117	1	0:00:10.887243
63	3	3	0.117	1	0:00:10.935943
64	6	6	0.117	1	0:00:10.889665
65	2	2	0.117	1	0:00:10.935451
66	1	1	0.00797	1	0:00:10.917533
67	2	2	0.117	1	0:00:10.919363
68	3	6	0.106	0	0:00:10.913164
69	7	7	0.117	1	0:00:10.898026
70	2	2	0.0566	1	0:00:10.898963
71	6	6	0.117	1	0:00:10.908439
72	8	8	0.117	1	0:00:10.947750
