idx	label	predict	radius	correct	time
0	3	6	1.56	0	0:00:10.794023
1	8	6	1.56	0	0:00:10.953780
2	8	6	1.53	0	0:00:11.438862
3	0	6	1.56	0	0:00:11.559448
4	6	6	1.56	1	0:00:11.488353
5	6	6	1.56	1	0:00:11.482146
6	1	6	1.56	0	0:00:11.438279
7	6	6	1.56	1	0:00:11.515453
8	3	6	1.53	0	0:00:11.640361
9	1	6	1.56	0	0:00:11.660352
10	0	6	1.56	0	0:00:11.571920
11	9	6	1.56	0	0:00:11.585826
12	5	6	1.56	0	0:00:11.367677
13	7	6	1.56	0	0:00:11.423133
14	9	6	1.56	0	0:00:11.668365
15	8	6	1.56	0	0:00:11.517264
16	5	6	1.49	0	0:00:11.649143
17	7	6	1.56	0	0:00:11.546544
18	8	6	1.56	0	0:00:11.652601
19	6	6	1.56	1	0:00:11.437276
20	7	6	1.56	0	0:00:11.163469
21	0	6	1.2	0	0:00:11.633312
22	4	6	1.56	0	0:00:11.670683
23	9	6	1.56	0	0:00:11.293883
24	5	6	1.56	0	0:00:11.621319
25	2	6	1.51	0	0:00:11.508985
26	4	6	1.56	0	0:00:11.176142
27	0	6	1.56	0	0:00:11.637632
28	9	6	1.56	0	0:00:11.549526
29	6	6	1.56	1	0:00:11.691346
30	6	6	1.56	1	0:00:11.612260
31	5	6	1.56	0	0:00:11.420775
32	4	6	1.56	0	0:00:11.612807
33	5	6	1.56	0	0:00:11.664110
34	9	6	1.56	0	0:00:11.463311
35	2	6	1.56	0	0:00:11.655561
36	4	6	1.56	0	0:00:11.548846
37	1	6	1.56	0	0:00:11.660292
38	9	6	1.56	0	0:00:11.686176
39	5	6	1.56	0	0:00:11.476410
40	4	6	1.56	0	0:00:11.573219
41	6	6	1.56	1	0:00:11.627863
42	5	6	1.56	0	0:00:11.241323
43	6	6	1.56	1	0:00:11.670775
44	0	6	1.56	0	0:00:11.526185
45	9	6	1.56	0	0:00:11.355348
46	3	6	1.56	0	0:00:11.369362
47	9	6	1.56	0	0:00:11.542321
48	7	6	1.56	0	0:00:11.710837
49	6	6	1.56	1	0:00:11.546711
50	9	6	1.56	0	0:00:11.526025
51	8	6	1.56	0	0:00:11.544889
52	0	6	1.56	0	0:00:11.233012
